L(T-1),L(T-2),L(T-24),L(T-48),P(T-1),P(T-2),P(T-24),P(T-48),Day,Season,L(T)
4534.53,4820.78,5479.8,5690.38,1916.69,2055.32,1785.03,1754.93,0,2,4902.48
4902.48,4534.53,5566.43,5748.7,1741.39,1916.69,1751.43,1647.07,0,2,4946.93
4946.93,4902.48,5623.03,5712.08,1595.46,1741.39,1699.94,1560.38,0,2,4881.98
4881.98,4946.93,5963.1,6240.6,1554.44,1595.46,1810.49,1799.56,0,2,5385.53
5385.53,4881.98,6566.95,7004.45,1679.18,1554.44,2065.56,1980.06,0,2,6044.03
6044.03,5385.53,7764.18,8580.7,2033.34,1679.18,2620.44,2603.44,0,2,7163.48
7163.48,6044.03,9709.88,10736.78,2246.59,2033.34,3330.76,3244.62,0,2,9305.53
9305.53,7163.48,8980.81,9993.97,3023.72,2246.59,4635.33,3980.82,0,2,9157.18
9157.18,9305.53,8843.74,9085.9,3859.94,3023.72,5324.53,5947.6,0,2,8773.98
8773.98,9157.18,8419.72,9380.78,4773.1,3859.94,3903.06,5375.43,0,2,8377.72
8377.72,8773.98,7980.03,9371.18,3612.57,4773.1,3497.49,3992.56,0,2,7921.4
7921.4,8377.72,7621.45,8742.33,3642.73,3612.57,3617.57,4301.92,0,2,7822.63
7822.63,7921.4,7458.2,8556.63,3394.97,3642.73,2910.49,3234.55,0,2,7272.44
7272.44,7822.63,7701,9393.97,2833.25,3394.97,2772.3,2992.86,0,2,7222.53
7222.53,7272.44,8590.73,10344.79,2671.47,2833.25,2772.25,3004.51,0,2,7911.6
7911.6,7222.53,9159.84,10398.73,2717.43,2671.47,2933.43,3614.81,0,2,8557.02
8557.02,7911.6,8087.68,9428.78,2833.44,2717.43,3138.33,3743.2,0,2,7874.38
7874.38,8557.02,9399.79,9565.98,3017.24,2833.44,4477.06,3912.47,0,2,9513.35
9513.35,7874.38,8939.99,9114.1,4162.68,3017.24,3954.79,4242.24,0,2,8861.83
8861.83,9513.35,6071.87,7483.27,3870,4162.68,2397.43,3117.46,0,2,5929
5929,8861.83,4774.93,5817.63,2672.91,3870,2166.25,2546.29,0,2,4519.73
4519.73,5929,4120.9,4758.63,2162.45,2672.91,2175.68,2007.45,0,2,4131.5
4131.5,4519.73,4820.78,4726.83,2002.16,2162.45,2055.32,1999.68,0,2,4616.33
4616.33,4131.5,4534.53,5273.48,1997.18,2002.16,1916.69,1955.9,0,2,5388.15
5388.15,4616.33,4902.48,5479.8,2058.04,1997.18,1741.39,1785.03,0,2,5748.55
5748.55,5388.15,4946.93,5566.43,1898.5,2058.04,1595.46,1751.43,0,2,5714.78
5714.78,5748.55,4881.98,5623.03,1712.25,1898.5,1554.44,1699.94,0,2,5685.35
5685.35,5714.78,5385.53,5963.1,1659.21,1712.25,1679.18,1810.49,0,2,6142.43
6142.43,5685.35,6044.03,6566.95,1821.36,1659.21,2033.34,2065.56,0,2,6624.6
6624.6,6142.43,7163.48,7764.18,2106.85,1821.36,2246.59,2620.44,0,2,7514.83
7514.83,6624.6,9305.53,9709.88,2426.09,2106.85,3023.72,3330.76,0,2,9796.03
9796.03,7514.83,9157.18,8980.81,3258.8,2426.09,3859.94,4635.33,0,2,9137.02
9137.02,9796.03,8773.98,8843.74,3746.13,3258.8,4773.1,5324.53,0,2,8870.97
8870.97,9137.02,8377.72,8419.72,3778.41,3746.13,3612.57,3903.06,0,2,8805
8805,8870.97,7921.4,7980.03,3549.96,3778.41,3642.73,3497.49,0,2,8327.75
8327.75,8805,7822.63,7621.45,3387.79,3549.96,3394.97,3617.57,0,2,7837.88
7837.88,8327.75,7272.44,7458.2,3195.48,3387.79,2833.25,2910.49,0,2,7399.76
7399.76,7837.88,7222.53,7701,2800.67,3195.48,2671.47,2772.3,0,2,7765.75
7765.75,7399.76,7911.6,8590.73,2663.96,2800.67,2717.43,2772.25,0,2,8948.07
8948.07,7765.75,8557.02,9159.84,2785.72,2663.96,2833.44,2933.43,0,2,10002.88
10002.88,8948.07,7874.38,8087.68,3044.42,2785.72,3017.24,3138.33,0,2,8939.92
8939.92,10002.88,9513.35,9399.79,3178.08,3044.42,4162.68,4477.06,0,2,10239
10239,8939.92,8861.83,8939.99,4082.56,3178.08,3870,3954.79,0,2,9372.21
9372.21,10239,5929,6071.87,3805.93,4082.56,2672.91,2397.43,0,2,6686.73
6686.73,9372.21,4519.73,4774.93,2682.62,3805.93,2162.45,2166.25,0,2,5143.43
5143.43,6686.73,4131.5,4120.9,2411.89,2682.62,2002.16,2175.68,0,2,4386.23
4386.23,5143.43,4616.33,4820.78,2113.93,2411.89,1997.18,2055.32,0,2,4900.58
4900.58,4386.23,5388.15,4534.53,2095.94,2113.93,2058.04,1916.69,1,2,5460.4
5460.4,4900.58,5748.55,4902.48,2106.03,2095.94,1898.5,1741.39,1,2,5787.4
5787.4,5460.4,5714.78,4946.93,1951.46,2106.03,1712.25,1595.46,1,2,5905.03
5905.03,5787.4,5685.35,4881.98,1804.03,1951.46,1659.21,1554.44,1,2,5975.08
5975.08,5905.03,6142.43,5385.53,1781.42,1804.03,1821.36,1679.18,1,2,6046.43
6046.43,5975.08,6624.6,6044.03,1901.44,1781.42,2106.85,2033.34,1,2,6515.05
6515.05,6046.43,7514.83,7163.48,2057.26,1901.44,2426.09,2246.59,1,2,7619.23
7619.23,6515.05,9796.03,9305.53,2508.5,2057.26,3258.8,3023.72,1,2,10636.07
10636.07,7619.23,9137.02,9157.18,3252.46,2508.5,3746.13,3859.94,1,2,9959.02
9959.02,10636.07,8870.97,8773.98,3645.44,3252.46,3778.41,4773.1,1,2,9604.3
9604.3,9959.02,8805,8377.72,4037.03,3645.44,3549.96,3612.57,1,2,8925.85
8925.85,9604.3,8327.75,7921.4,3229.44,4037.03,3387.79,3642.73,1,2,8134.15
8134.15,8925.85,7837.88,7822.63,3117.47,3229.44,3195.48,3394.97,1,2,7527.73
7527.73,8134.15,7399.76,7272.44,2853.4,3117.47,2800.67,2833.25,1,2,5977.08
5977.08,7527.73,7765.75,7222.53,2531.14,2853.4,2663.96,2671.47,1,2,6632.3
6632.3,5977.08,8948.07,7911.6,2399.66,2531.14,2785.72,2717.43,1,2,7703.48
7703.48,6632.3,10002.88,8557.02,2603.55,2399.66,3044.42,2833.44,1,2,8576.46
8576.46,7703.48,8939.92,7874.38,2799.22,2603.55,3178.08,3017.24,1,2,7796.63
7796.63,8576.46,10239,9513.35,2846.04,2799.22,4082.56,4162.68,1,2,9206.84
9206.84,7796.63,9372.21,8861.83,3494.08,2846.04,3805.93,3870,1,2,8141.35
8141.35,9206.84,6686.73,5929,3398.44,3494.08,2682.62,2672.91,1,2,6288.73
6288.73,8141.35,5143.43,4519.73,2625.18,3398.44,2411.89,2162.45,1,2,5344.75
5344.75,6288.73,4386.23,4131.5,2609.14,2625.18,2113.93,2002.16,1,2,4458.45
4458.45,5344.75,4900.58,4616.33,2205.25,2609.14,2095.94,1997.18,1,2,5208.75
5208.75,4458.45,5460.4,5388.15,2182.27,2205.25,2106.03,2058.04,0,2,4795.65
4795.65,5208.75,5787.4,5748.55,2202.51,2182.27,1951.46,1898.5,0,2,5559.55
5559.55,4795.65,5905.03,5714.78,2092.47,2202.51,1804.03,1712.25,0,2,5324.85
5324.85,5559.55,5975.08,5685.35,2001.58,2092.47,1781.42,1659.21,0,2,5636.85
5636.85,5324.85,6046.43,6142.43,1997.42,2001.58,1901.44,1821.36,0,2,5055.35
5055.35,5636.85,6515.05,6624.6,2003.67,1997.42,2057.26,2106.85,0,2,4893.69
4893.69,5055.35,7619.23,7514.83,2307.14,2003.67,2508.5,2426.09,0,2,7234.5
7234.5,4893.69,10636.07,9796.03,2727.53,2307.14,3252.46,3258.8,0,2,9907.28
9907.28,7234.5,9959.02,9137.02,3498.91,2727.53,3645.44,3746.13,0,2,9684.78
9684.78,9907.28,9604.3,8870.97,4707.95,3498.91,4037.03,3778.41,0,2,8879.15
8879.15,9684.78,8925.85,8805,5862.89,4707.95,3229.44,3549.96,0,2,8517.5
8517.5,8879.15,8134.15,8327.75,4800.15,5862.89,3117.47,3387.79,0,2,7893.5
7893.5,8517.5,7527.73,7837.88,4400.25,4800.15,2853.4,3195.48,0,2,7660.15
7660.15,7893.5,5977.08,7399.76,4082.75,4400.25,2531.14,2800.67,0,2,6680.09
6680.09,7660.15,6632.3,7765.75,2842.1,4082.75,2399.66,2663.96,0,2,7445.63
7445.63,6680.09,7703.48,8948.07,2777.14,2842.1,2603.55,2785.72,0,2,8963.8
